Días;Meses;Country;Response_measure;date_start;date_end
;1;Austria;AdaptationOfWorkplace;16/3/2020;13/4/2020
;6;Austria;BanOnAllEvents;3/11/2020;18/5/2021
;2;Austria;ClosDaycare;16/3/2020;4/5/2020
;1;Austria;ClosDaycare;17/11/2020;7/12/2020
;6;Austria;ClosHigh;16/3/2020;30/9/2020
;;Austria;ClosHighPartial;3/11/2020;
;1;Austria;ClosPrim;17/11/2020;7/12/2020
;2;Austria;ClosPrim;26/12/2020;6/2/2021
;2;Austria;ClosPrimPartial;16/3/2020;18/5/2020
;1;Austria;ClosPubAny;16/3/2020;13/4/2020
12;0;Austria;ClosPubAny;2/5/2020;14/5/2020
;1;Austria;ClosPubAny;16/11/2020;6/12/2020
;2;Austria;ClosPubAny;28/12/2020;6/2/2021
;1;Austria;ClosPubAnyPartial;14/4/2020;1/5/2020
;6;Austria;ClosPubAnyPartial;15/5/2020;15/11/2020
20;0;Austria;ClosPubAnyPartial;7/12/2020;27/12/2020
;3;Austria;ClosSec;3/11/2020;7/2/2021
;3;Austria;ClosSecPartial;16/3/2020;3/6/2020
;1;Austria;EntertainmentVenues;16/3/2020;30/4/2020
;3;Austria;EntertainmentVenues;3/11/2020;7/2/2021
;6;Austria;GymsSportsCentres;3/11/2020;18/5/2021
;2;Austria;HotelsOtherAccommodation;31/3/2020;29/5/2020
;6;Austria;HotelsOtherAccommodation;3/11/2020;18/5/2021
;3;Austria;IndoorOver100;11/3/2020;30/6/2020
;1;Austria;IndoorOver1000;1/8/2020;13/9/2020
;2;Austria;IndoorOver50;14/9/2020;2/11/2020
30;0;Austria;IndoorOver500;1/7/2020;31/7/2020
;9;Austria;MasksMandatoryAllSpaces;14/9/2020;9/6/2021
;1;Austria;MasksMandatoryClosedSpacesPartial;15/6/2020;8/7/2020
;1;Austria;MasksVoluntaryClosedSpacesPartial;31/3/2020;5/4/2020
;6;Austria;MassGather50;3/11/2020;18/5/2021
;2;Austria;MassGather50Partial;14/9/2020;2/11/2020
;4;Austria;MassGatherAll;11/3/2020;31/7/2020
;6;Austria;MassGatherAll;3/11/2020;18/5/2021
;3;Austria;MassGatherAllPartial;1/8/2020;2/11/2020
;1;Austria;NonEssentialShops;16/3/2020;13/4/2020
;1;Austria;NonEssentialShops;17/11/2020;6/12/2020
;2;Austria;NonEssentialShops;26/12/2020;7/2/2021
;1;Austria;NonEssentialShopsPartial;14/4/2020;1/5/2020
18;0;Austria;NonEssentialShopsPartial;7/12/2020;25/12/2020
;2;Austria;OutdoorOver100;14/9/2020;2/11/2020
;1;Austria;OutdoorOver1000;1/8/2020;13/9/2020
;4;Austria;OutdoorOver500;11/3/2020;31/7/2020
;2;Austria;PlaceOfWorship;16/3/2020;14/5/2020
;1;Austria;PlaceOfWorship;16/11/2020;6/12/2020
;2;Austria;PlaceOfWorship;28/12/2020;6/2/2021
;6;Austria;PlaceOfWorshipPartial;15/5/2020;15/11/2020
20;0;Austria;PlaceOfWorshipPartial;7/12/2020;27/12/2020
;1;Austria;PrivateGatheringRestrictions;16/3/2020;30/4/2020
;1;Austria;PrivateGatheringRestrictions;23/10/2020;16/11/2020
;;Austria;QuarantineForInternationalTravellers;10/3/2020;
;2;Austria;RestaurantsCafes;16/3/2020;14/5/2020
;6;Austria;RestaurantsCafes;3/11/2020;14/5/2021
;6;Austria;SocialCircle;17/11/2020;18/5/2021
5;0;Austria;StayHomeGen;10/3/2020;15/3/2020
